交易日期,股票代码,股票名称,是否交易,下日_是否交易,下日_开盘涨停,下日_一字涨停,下日_开盘跌停,下日_一字跌停,下日_是否ST,下日_是否退市,下日_开盘买入涨跌幅,总市值,流通市值,换手率,振幅1,振幅2,本周期涨跌幅,下周期每天涨跌幅
2006-12-22,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.04318181818181799,75731410100.8,23168059482.6,0.07810874045619108,0.20394736842105288,0.050407706652976184,-0.023033707865168562,"[0.05577918343875776, -0.011982570806100101, 0.06780595369349496, 0.04130098089829648, 0.0565195835399106]"
2006-12-22,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.00990099009900991,11272607309.4,5746151985.92,0.09596089423863646,0.10966057441253296,0.0367981186818804,-0.012224938875305624,"[0.00990099009900991, 0.03921568627450989, 0.02594339622641506, 0.0, 0.0022988505747127963]"
2006-12-29,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.008775981524249299,92802550273.1,28390531775.4,0.08846969506842257,0.3356079404466499,0.054288488603258654,0.21079545454545423,"[0.007038948850305093, -0.029356943150046666]"
2006-12-29,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.03363228699551568,12165487096.2,6201292737.28,0.127881112470726,0.15665796344647576,0.038317849503653925,0.0792079207920795,"[0.05733944954128445, 0.03253796095444672]"
2007-01-05,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.02163461538461542,90712206578.5,27751045372.2,0.06745818223753608,0.45409429280396996,0.06250150689743296,-0.03787528868360268,"[0.0201632261161786, 0.07247058823529406, 0.03685827117156637, -0.017350825222175237, -0.02670111972437539]"
2007-01-05,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.004201680672269115,13287277467.0,6775909313.6,0.09373345267848036,0.2793733681462147,0.04412689378194301,0.06726457399103114,"[0.004201680672269115, 0.09832635983263582, 0.0019047619047618536, -0.03992395437262353, -0.06930693069306926]"
2007-01-12,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.04493891797556704,98420348952.2,30109151484.0,0.10526567408198968,0.47454545454545416,0.06458002846235754,0.08653846153846145,"[0.0597345132743361, -0.007098121085594933, -0.03532380151387715, -0.06756756756756754, 0.02010285179990645]"
2007-01-12,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.04946236559139772,13119790776.2,6690498692.0,0.18185073744275684,0.38903394255874746,0.04809737448311109,-0.012605042016806456,"[0.038297872340425476, 0.05737704918032782, -0.050387596899224785, -0.01224489795918382, 0.016528925619834656]"
2007-01-19,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.0040000000000000036,95023540448.5,29069986078.8,0.10646820977520613,0.4416273584905661,0.06936994247176174,-0.047993019197207554,"[0.03528872593950494, 0.10004426737494465, -0.006036217303822977, -0.013360323886639658, 0.09068526877308147]"
2007-01-19,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.034136546184738936,13733908642.3,7003670971.2,0.14361800392054375,0.3333333333333339,0.05588019367602124,0.05806451612903163,"[0.04674796747967491, 0.10097087378640768, 0.09347442680776008, -0.050000000000000044, 0.04753820033955858]"
2007-01-26,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.02992424242424252,115752782086.0,35411559577.2,0.13069263662083364,0.4894444444444441,0.08056533519566662,0.1813333333333329,"[0.022949586155003976, -0.03162927546892247, -0.050892518040258294, -0.01600640256102437, -0.06466043106954045]"
2007-01-26,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.03294892915980219,17223214699.8,8783058921.2,0.268104406463241,0.49047619047619007,0.07121603386311572,0.23895582329317255,"[0.01620745542949753, -0.019138755980861122, -0.0747967479674797, -0.015817223198594133, -0.08035714285714268]"
2007-02-02,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.04194260485651213,100162302031.0,30642056820.0,0.11985342751544444,0.37457544881125693,0.07714145682771868,-0.12878787878787878,"[-0.05652173913043479, 0.06774193548387109, 0.035822183858437606, -0.020000000000000018, -0.04166666666666674]"
2007-02-02,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,-0.039215686274509665,14375940956.9,7331078354.0,0.17261016386621475,0.37878787878787845,0.08477403089368915,-0.15156507413509057,"[-0.04854368932038833, 0.09999999999999987, 0.03896103896103886, 0.014285714285714235, -0.047535211267605515]"
2007-02-09,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.05414847161572056,98159055990.4,30029215683.6,0.11423851195932205,0.3759106362311804,0.07943177466294211,-0.004856512141280245,"[0.07098491570541277, 0.020298260149129943, 0.016646366220056885, 0.02316293929712465, -0.0050741608118658466]"
2007-02-09,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.020000000000000018,15160696885.9,7760171316.63,0.15525958137264742,0.37878787878787845,0.08949313633144924,0.0607843137254902,"[0.0369685767097967, 0.010695187165775222, 0.03880070546737202, 0.035653650254668934, 0.06557377049180335]"
2007-02-16,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.03958828186856689,111005959947.0,33959392536.6,0.05499035419986836,0.3759106362311804,0.07476074705834053,0.1131004366812225,"[-0.04825421734013324, -0.0993404781533388, 0.021510297482837393, -0.020161290322580627, 0.0036579789666209006]"
